# Program:featureCounts v2.0.3; Command:"featureCounts" "-s" "1" "-t" "gene" "-g" "gene_id" "-a" "/shared/ngs/illumina/henikoff/databases/human/hg19/gencode.v19.annotation.GRCh37.p13.gtf" "-o" "NK_hs_2006_S53.featureCounts.gene.tab" "NK_hs_2006_S53.bam" 
Geneid	Chr	Start	End	Strand	Length	NK_hs_2006_S53.bam
ENSG00000243188.1	chr3	108044367	108045661	-	1295	0
ENSG00000144821.5	chr3	108099216	108248169	-	148954	9
ENSG00000241634.1	chr3	108262214	108262722	-	509	1
ENSG00000163507.9	chr3	108268716	108308491	-	39776	391
ENSG00000202379.1	chr3	108293412	108293545	+	134	0
ENSG00000198919.8	chr3	108308529	108413693	+	105165	439
ENSG00000241777.1	chr3	108444287	108444383	-	97	0
ENSG00000163515.6	chr3	108462271	108476231	-	13961	0
ENSG00000163519.9	chr3	108541545	108573852	+	32308	0
ENSG00000138472.6	chr3	108626639	108672742	-	46104	0
ENSG00000114487.5	chr3	108677086	108836989	-	159904	2
ENSG00000221633.1	chr3	108737757	108737963	-	207	0
ENSG00000239314.1	chr3	108820303	108829189	+	8887	0
ENSG00000241224.2	chr3	108855561	108868973	+	13413	0
ENSG00000261364.1	chr3	108895285	108896212	-	928	0
ENSG00000214381.4	chr3	108897012	108904104	+	7093	0
ENSG00000252889.1	chr3	108943976	108944074	+	99	0
ENSG00000239288.1	chr3	108960354	108961972	+	1619	0
ENSG00000163530.4	chr3	109012635	109035364	-	22730	1
ENSG00000121570.8	chr3	109044988	109056419	-	11432	0
ENSG00000241257.1	chr3	109082894	109083081	-	188	0
ENSG00000244561.1	chr3	109115463	109116717	+	1255	0
ENSG00000230618.3	chr3	109128525	109128931	-	407	0
ENSG00000228980.3	chr3	109128837	109214014	+	85178	1
ENSG00000244196.1	chr3	109190176	109190659	-	484	0
ENSG00000252541.1	chr3	109216492	109216576	+	85	0
ENSG00000265956.1	chr3	109321675	109321744	+	70	0
ENSG00000242029.1	chr3	109366954	109529708	+	162755	0
ENSG00000271249.1	chr3	109420303	109421065	-	763	0
ENSG00000214380.4	chr3	109634823	109635787	-	965	0
ENSG00000243945.1	chr3	109696387	109696614	-	228	0
ENSG00000240895.1	chr3	110246329	110248429	-	2101	0
ENSG00000221206.1	chr3	110270692	110270812	-	121	0
ENSG00000244722.1	chr3	110401133	110402001	-	869	0
ENSG00000201426.1	chr3	110445868	110445968	+	101	0
ENSG00000206532.2	chr3	110607231	110612323	-	5093	0
ENSG00000242242.1	chr3	110612555	110790400	-	177846	2
ENSG00000177707.6	chr3	110788918	110994410	+	205493	244
ENSG00000153283.8	chr3	111011566	111384597	+	373032	3
ENSG00000239311.1	chr3	111185160	111215942	-	30783	0
ENSG00000244142.1	chr3	111197584	111197790	+	207	0
ENSG00000240787.1	chr3	111289485	111289901	-	417	0
ENSG00000177494.5	chr3	111311747	111314290	-	2544	0
ENSG00000244720.1	chr3	111352519	111353936	+	1418	0
ENSG00000240891.2	chr3	111393523	111565294	+	171772	24
ENSG00000240766.1	chr3	111395583	111396280	-	698	0
ENSG00000144824.15	chr3	111451344	111695364	+	244021	214
ENSG00000144827.4	chr3	111697857	111712210	+	14354	120
ENSG00000144834.8	chr3	111717511	111732734	+	15224	0
ENSG00000239439.1	chr3	111749778	111750496	-	719	0
ENSG00000176040.9	chr3	111753690	111800116	+	46427	2
ENSG00000114529.8	chr3	111805182	111849851	+	44670	96
ENSG00000207940.1	chr3	111831648	111831745	+	98	0
ENSG00000174500.8	chr3	111839688	111852152	-	12465	4
ENSG00000261488.1	chr3	111852270	111854206	+	1937	11
ENSG00000172139.10	chr3	111859734	112013105	-	153372	21
ENSG00000244144.1	chr3	111904327	111904845	-	519	0
ENSG00000239482.2	chr3	112021325	112051638	+	30314	0
ENSG00000091972.14	chr3	112051194	112081659	+	30466	0
ENSG00000243081.2	chr3	112115494	112127981	-	12488	0
ENSG00000186265.5	chr3	112182815	112218408	-	35594	2
ENSG00000242525.1	chr3	112243034	112244048	-	1015	1
ENSG00000144848.6	chr3	112251356	112280893	-	29538	253
ENSG00000138459.4	chr3	112280556	112304424	+	23869	89
ENSG00000272761.1	chr3	112315641	112320749	-	5109	0
ENSG00000091986.11	chr3	112323407	112368377	-	44971	36
ENSG00000242308.2	chr3	112415755	112416553	-	799	0
ENSG00000240893.1	chr3	112455294	112468166	-	12873	1
ENSG00000242770.2	chr3	112521325	112531666	+	10342	3
ENSG00000206531.6	chr3	112534556	112565703	-	31148	0
ENSG00000163606.6	chr3	112640056	112693969	-	53914	1
ENSG00000272844.1	chr3	112709294	112710000	-	707	1
ENSG00000163607.10	chr3	112709765	112733907	+	24143	63
ENSG00000163608.10	chr3	112721287	112738708	-	17422	167
ENSG00000240057.1	chr3	112738379	112902148	+	163770	12
ENSG00000243483.1	chr3	112760237	112760661	-	425	0
ENSG00000241219.1	chr3	112769759	112782290	-	12532	0
ENSG00000238593.1	chr3	112811291	112811372	-	82	0
ENSG00000253076.1	chr3	112856813	112856888	-	76	0
ENSG00000243795.1	chr3	112861197	112886666	-	25470	0
ENSG00000144857.10	chr3	112929850	113006303	+	76454	59
ENSG00000206530.4	chr3	113005777	113160457	-	154681	145
ENSG00000240751.1	chr3	113079114	113080166	+	1053	0
ENSG00000243849.1	chr3	113122838	113152839	+	30002	5
ENSG00000163611.7	chr3	113161565	113234034	-	72470	254
ENSG00000072858.6	chr3	113251143	113348425	+	97283	34
ENSG00000239453.1	chr3	113307595	113309036	-	1442	5
ENSG00000265253.1	chr3	113313723	113313789	+	67	0
ENSG00000241529.2	chr3	113351551	113351827	+	277	0
ENSG00000176542.5	chr3	113367232	113415493	-	48262	78
ENSG00000121579.8	chr3	113435307	113465147	-	29841	542
ENSG00000239280.1	chr3	113459670	113460101	-	432	0
ENSG00000242659.1	chr3	113465719	113466255	-	537	3
ENSG00000114573.5	chr3	113465866	113530903	+	65038	415
ENSG00000178075.15	chr3	113547029	113666021	+	118993	120
ENSG00000240776.1	chr3	113569084	113569578	-	495	0
ENSG00000241889.1	chr3	113604145	113604878	+	734	0
ENSG00000240375.1	chr3	113638069	113639047	+	979	0
ENSG00000273394.1	chr3	113665852	113666417	-	566	1
ENSG00000184307.9	chr3	113666748	113684248	+	17501	124
ENSG00000163617.6	chr3	113682984	113775460	-	92477	52
ENSG00000270880.1	chr3	113702884	113703502	+	619	0
ENSG00000151576.6	chr3	113724680	113807269	+	82590	193
ENSG00000240912.1	chr3	113822096	113822475	-	380	0
ENSG00000151577.8	chr3	113847499	113918254	-	70756	0
ENSG00000241490.1	chr3	113933160	113955051	+	21892	0
ENSG00000240487.1	chr3	113950245	113951868	-	1624	0
ENSG00000174255.5	chr3	113953483	113956425	-	2943	0
ENSG00000181847.7	chr3	113995760	114029135	+	33376	0
ENSG00000259976.1	chr3	114033348	114035026	-	1679	5
ENSG00000207770.1	chr3	114035322	114035416	-	95	0
ENSG00000181722.11	chr3	114056941	114866118	-	809178	347
ENSG00000241560.1	chr3	114070658	114107825	+	37168	3
ENSG00000242290.1	chr3	114172440	114238979	+	66540	7
ENSG00000241295.1	chr3	114403427	114406456	+	3030	0
ENSG00000264623.1	chr3	114462292	114462372	-	81	0
ENSG00000239946.1	chr3	114591961	114595361	+	3401	2
ENSG00000240002.1	chr3	114649388	114650296	+	909	0
ENSG00000242767.1	chr3	114819270	114821908	+	2639	0
ENSG00000242880.1	chr3	114970043	115004194	+	34152	0
ENSG00000244157.1	chr3	114997972	114998707	+	736	0
ENSG00000172020.8	chr3	115342171	115440337	+	98167	5
ENSG00000241596.1	chr3	115377380	115380126	+	2747	0
ENSG00000185565.7	chr3	115521235	117716095	-	2194861	210
ENSG00000243359.2	chr3	115556715	115557005	+	291	0
ENSG00000240922.1	chr3	116078871	116088937	+	10067	0
ENSG00000241397.1	chr3	116271320	116287111	+	15792	0
ENSG00000241156.2	chr3	116301401	116301677	-	277	0
ENSG00000198406.6	chr3	116364592	116365574	-	983	0
ENSG00000243197.3	chr3	116428082	116442428	+	14347	0
ENSG00000265433.1	chr3	116569124	116569214	-	91	0
ENSG00000242385.1	chr3	116640278	116651085	+	10808	0
ENSG00000200372.1	chr3	116683959	116684074	-	116	0
ENSG00000243014.1	chr3	116745545	116745886	+	342	0
ENSG00000206889.1	chr3	117263052	117263158	+	107	0
ENSG00000239268.2	chr3	117391001	117716439	-	325439	0
ENSG00000240393.1	chr3	117393189	117393991	-	803	0
ENSG00000241213.1	chr3	117397540	117409779	-	12240	0
ENSG00000242816.1	chr3	117509520	117512612	+	3093	0
ENSG00000243276.1	chr3	117723666	118276515	-	552850	6
ENSG00000144847.8	chr3	118619404	118864915	-	245512	16
ENSG00000239877.2	chr3	118661920	118667088	+	5169	0
ENSG00000163424.4	chr3	118864997	118878889	+	13893	0
ENSG00000251012.1	chr3	118866222	118906654	+	40433	0
ENSG00000114638.3	chr3	118892364	118924000	+	31637	3
ENSG00000121578.8	chr3	118930579	118959950	-	29372	73
ENSG00000240254.1	chr3	118945333	119009513	+	64181	9
ENSG00000031081.6	chr3	119013220	119139561	+	126342	30
ENSG00000242829.1	chr3	119017512	119017859	+	348	0
ENSG00000241155.1	chr3	119033140	119041607	-	8468	2
ENSG00000207310.1	chr3	119060681	119060787	-	107	0
ENSG00000176142.8	chr3	119148347	119187677	-	39331	291
ENSG00000163389.6	chr3	119187785	119213555	+	25771	163
ENSG00000272662.1	chr3	119216525	119217028	-	504	3
ENSG00000113845.5	chr3	119217379	119243937	+	26559	419
ENSG00000121594.7	chr3	119243140	119278449	-	35310	8
ENSG00000272967.1	chr3	119298059	119298497	-	439	0
ENSG00000144843.7	chr3	119298115	119308792	+	10678	0
ENSG00000144837.4	chr3	119316689	119348658	+	31970	1
ENSG00000242052.1	chr3	119354373	119354997	-	625	0
ENSG00000121577.9	chr3	119355304	119384171	-	28868	0
ENSG00000138495.2	chr3	119373360	119396301	-	22942	220
ENSG00000183833.12	chr3	119421869	119485949	+	64081	8
ENSG00000239994.2	chr3	119462986	119469197	-	6212	0
ENSG00000144852.12	chr3	119499331	119537332	+	38002	0
ENSG00000240471.1	chr3	119510676	119511400	+	725	0
ENSG00000082701.10	chr3	119540170	119813264	-	273095	698
ENSG00000239835.1	chr3	119747587	119748715	+	1129	0
ENSG00000241546.1	chr3	119760037	119760384	+	348	0
ENSG00000242622.1	chr3	119813742	119855630	+	41889	25
ENSG00000244308.2	chr3	119829345	119829633	-	289	0
ENSG00000244139.2	chr3	119840756	119841051	+	296	0
ENSG00000175697.6	chr3	119883492	120003941	-	120450	3
ENSG00000206721.1	chr3	119929167	119929268	+	102	0
ENSG00000240882.1	chr3	120025573	120026799	+	1227	0
ENSG00000163428.3	chr3	120043356	120068186	-	24831	292
ENSG00000240661.1	chr3	120068357	120086845	+	18489	3
ENSG00000242613.1	chr3	120106876	120108162	+	1287	0
ENSG00000163430.5	chr3	120111140	120170100	-	58961	269
ENSG00000240774.1	chr3	120203018	120203374	-	357	0
ENSG00000244441.1	chr3	120231697	120232035	+	339	0
ENSG00000196095.1	chr3	120262892	120263292	-	401	0
ENSG00000065518.7	chr3	120315156	120321347	+	6192	413
ENSG00000113924.7	chr3	120347020	120401418	-	54399	2
ENSG00000144840.4	chr3	120405528	120461840	-	56313	67
ENSG00000240452.1	chr3	120440871	120441158	+	288	0
ENSG00000243257.1	chr3	120441305	120441493	+	189	0
ENSG00000153767.5	chr3	120461484	120501916	+	40433	88
ENSG00000213371.4	chr3	120524713	120525592	+	880	0
ENSG00000243593.1	chr3	120552287	120555207	-	2921	0
ENSG00000145087.8	chr3	120626919	121143608	+	516690	102
ENSG00000270782.1	chr3	120643459	120644005	-	547	0
ENSG00000264477.1	chr3	120768487	120768562	+	76	0
ENSG00000243813.1	chr3	120817955	120818621	+	667	0
ENSG00000242103.1	chr3	121075838	121076787	+	950	0
ENSG00000051341.9	chr3	121150278	121264853	-	114576	645
ENSG00000242445.1	chr3	121212957	121213755	+	799	0
ENSG00000186103.3	chr3	121289551	121305481	+	15931	2
ENSG00000238670.1	chr3	121310141	121310241	+	101	0
ENSG00000163833.6	chr3	121311966	121349139	+	37174	0
ENSG00000180353.6	chr3	121350246	121379774	-	29529	3
ENSG00000243544.2	chr3	121372843	121373143	-	301	0
ENSG00000222057.1	chr3	121374322	121374451	-	130	0
ENSG00000173230.11	chr3	121382046	121468602	-	86557	323
ENSG00000173226.12	chr3	121488610	121553926	-	65317	499
ENSG00000145088.4	chr3	121554030	121605373	+	51344	41
ENSG00000163406.6	chr3	121612936	121662949	+	50014	52
ENSG00000263678.1	chr3	121640945	121641029	-	85	0
ENSG00000145103.8	chr3	121706170	121741051	-	34882	0
ENSG00000202388.1	chr3	121744042	121744151	-	110	0
ENSG00000114013.11	chr3	121774213	121839983	+	65771	0
ENSG00000036828.9	chr3	121902530	122005342	+	102813	3
ENSG00000252170.1	chr3	121964613	121964684	+	72	0
ENSG00000221474.1	chr3	122000700	122000769	+	70	0
ENSG00000240236.1	chr3	122036456	122037588	+	1133	0
ENSG00000121552.3	chr3	122044091	122060819	+	16729	4
ENSG00000160124.5	chr3	122078438	122102078	-	23641	304
ENSG00000114023.11	chr3	122103023	122131181	+	28159	380
ENSG00000196981.2	chr3	122130715	122134882	-	4168	74
ENSG00000272758.1	chr3	122135054	122162027	+	26974	144
ENSG00000242531.1	chr3	122135729	122135859	-	131	0
ENSG00000114030.8	chr3	122140796	122233792	-	92997	641
ENSG00000270901.1	chr3	122203844	122204083	+	240	0
ENSG00000138496.12	chr3	122246771	122283424	-	36654	96
ENSG00000163840.5	chr3	122283085	122294050	+	10966	24
ENSG00000173200.8	chr3	122296449	122357894	+	61446	1
ENSG00000243918.1	chr3	122379460	122381285	+	1826	0
ENSG00000173193.9	chr3	122399465	122449687	+	50223	94
ENSG00000169087.6	chr3	122458846	122512671	-	53826	161
ENSG00000238480.1	chr3	122469219	122469322	+	104	0
ENSG00000138463.8	chr3	122513642	122599986	+	86345	113
ENSG00000273033.1	chr3	122605788	122611243	+	5456	16
ENSG00000082684.10	chr3	122628041	122747452	-	119412	20
ENSG00000221211.1	chr3	122645843	122645968	-	126	0
ENSG00000065485.13	chr3	122785909	122944074	+	158166	134
ENSG00000121542.7	chr3	122920774	122992977	+	72204	267
ENSG00000273454.1	chr3	122996200	122996751	+	552	0
ENSG00000173175.10	chr3	123001143	123168605	-	167463	5
ENSG00000272678.1	chr3	123002440	123002830	+	391	0
ENSG00000206527.5	chr3	123209667	123304032	-	94366	181
ENSG00000239523.1	chr3	123304389	123363415	+	59027	81
ENSG00000065534.14	chr3	123328896	123603178	-	274283	107
ENSG00000250174.1	chr3	123408491	123411254	+	2764	0
ENSG00000273123.1	chr3	123434698	123435246	+	549	1
ENSG00000207002.1	chr3	123532924	123533054	+	131	0
ENSG00000175455.10	chr3	123616152	123680564	-	64413	1327
ENSG00000065371.13	chr3	123687368	123711025	-	23658	0
ENSG00000238512.1	chr3	123780841	123780931	-	91	0
ENSG00000160145.11	chr3	123798870	124445172	+	646303	74
ENSG00000266383.1	chr3	123851776	123851872	+	97	0
ENSG00000240622.1	chr3	123870807	123871910	-	1104	0
ENSG00000252751.1	chr3	124126538	124126630	+	93	0
ENSG00000263775.1	chr3	124415785	124415883	-	99	0
ENSG00000260391.2	chr3	124442635	124445172	+	2538	0
ENSG00000114491.9	chr3	124449213	124464040	+	14828	174
ENSG00000265981.1	chr3	124451286	124451363	+	78	0
ENSG00000242199.1	chr3	124452265	124452601	-	337	0
ENSG00000272947.1	chr3	124467422	124468120	+	699	2
ENSG00000082781.7	chr3	124480795	124620265	-	139471	127
ENSG00000244286.1	chr3	124500002	124506604	+	6603	0
ENSG00000243986.2	chr3	124580941	124582164	-	1224	0
ENSG00000173702.3	chr3	124624289	124672663	-	48375	2
ENSG00000173706.8	chr3	124684554	124774802	-	90249	78
ENSG00000252642.1	chr3	124777148	124777282	-	135	0
ENSG00000221955.6	chr3	124801480	124998021	-	196542	16
ENSG00000199327.1	chr3	124837941	124838044	-	104	0
ENSG00000264986.1	chr3	124870309	124870396	-	88	0
ENSG00000163848.14	chr3	124944405	125094198	-	149794	374
ENSG00000229048.4	chr3	125029725	125030194	+	470	0
ENSG00000243508.1	chr3	125062929	125063641	-	713	0
ENSG00000252953.1	chr3	125107778	125107841	+	64	0
ENSG00000238992.1	chr3	125164905	125165007	+	103	0
ENSG00000114520.6	chr3	125165495	125239041	-	73547	453
ENSG00000201800.1	chr3	125235823	125235930	+	108	0
ENSG00000252965.1	chr3	125247088	125247193	-	106	2
ENSG00000144909.7	chr3	125247702	125313934	-	66233	175
ENSG00000243072.1	chr3	125398417	125398625	+	209	0
ENSG00000242001.1	chr3	125400149	125400297	+	149	0
ENSG00000266857.1	chr3	125409100	125409187	+	88	0
ENSG00000234458.3	chr3	125422193	125423156	+	964	0
ENSG00000243429.1	chr3	125430983	125431889	+	907	0
ENSG00000228963.3	chr3	125443382	125444288	+	907	0
ENSG00000239978.1	chr3	125453138	125454041	+	904	0
ENSG00000265166.1	chr3	125455059	125455146	+	88	0
ENSG00000179170.11	chr3	125465927	125466941	+	1015	0
ENSG00000239432.1	chr3	125474929	125475305	+	377	0
ENSG00000272840.1	chr3	125493557	125516796	+	23240	3
ENSG00000239804.1	chr3	125506731	125506989	-	259	0
ENSG00000221737.1	chr3	125509247	125509395	-	149	0
ENSG00000242229.1	chr3	125513949	125514728	+	780	0
ENSG00000241346.1	chr3	125534925	125535129	-	205	0
ENSG00000241288.3	chr3	125546081	125607918	-	61838	52
ENSG00000221681.1	chr3	125551272	125551371	-	100	0
ENSG00000241278.1	chr3	125567066	125628215	+	61150	22
ENSG00000248787.1	chr3	125626848	125629115	-	2268	7
ENSG00000171084.11	chr3	125635463	125648867	+	13405	11
ENSG00000189366.5	chr3	125648118	125655882	-	7765	8
ENSG00000241439.1	chr3	125677399	125677660	+	262	0
ENSG00000114547.5	chr3	125687987	125702297	+	14311	0
ENSG00000114544.11	chr3	125725198	125820404	-	95207	139
ENSG00000248607.1	chr3	125775766	125777071	+	1306	0
ENSG00000265911.1	chr3	125787907	125787990	+	84	0
ENSG00000250012.1	chr3	125803063	125814192	+	11130	8
ENSG00000144908.9	chr3	125822412	125916837	-	94426	23
ENSG00000250218.1	chr3	125822483	125826912	+	4430	0
ENSG00000272020.1	chr3	125879126	125879288	-	163	0
ENSG00000246022.2	chr3	125898908	125929012	+	30105	0
ENSG00000250934.1	chr3	125985639	126010122	+	24484	0
ENSG00000251448.1	chr3	126007710	126012867	-	5158	0
ENSG00000163884.3	chr3	126061478	126076285	-	14808	56
ENSG00000249833.1	chr3	126111875	126113694	-	1820	0
ENSG00000163885.7	chr3	126113782	126155399	+	41618	0
ENSG00000070476.10	chr3	126156444	126194762	-	38319	318
ENSG00000159650.4	chr3	126200124	126236616	-	36493	0
ENSG00000180767.5	chr3	126243126	126262134	+	19009	0
ENSG00000180697.4	chr3	126245842	126277808	-	31967	1
ENSG00000201968.1	chr3	126283408	126283521	-	114	0
ENSG00000197763.8	chr3	126290622	126373998	-	83377	96
ENSG00000206483.4	chr3	126290625	126327398	-	36774	0
ENSG00000248557.1	chr3	126343635	126344904	+	1270	0
ENSG00000198284.5	chr3	126379452	126390782	+	11331	0
ENSG00000248850.1	chr3	126390949	126392066	-	1118	0
ENSG00000159685.6	chr3	126423063	126679249	+	256187	195
ENSG00000249558.1	chr3	126485277	126486318	-	1042	0
ENSG00000114554.7	chr3	126707437	126756235	+	48799	261
ENSG00000214324.1	chr3	126911974	126917025	+	5052	0
ENSG00000212556.1	chr3	126921215	126921316	-	102	0
ENSG00000243016.1	chr3	126940037	126940724	-	688	0
ENSG00000201288.1	chr3	126959811	126959917	-	107	0
ENSG00000239620.1	chr3	127002924	127003524	-	601	0
ENSG00000244215.1	chr3	127041150	127109513	-	68364	0
ENSG00000239921.2	chr3	127199533	127255655	-	56123	2
ENSG00000240562.1	chr3	127208396	127209630	+	1235	0
ENSG00000163870.10	chr3	127291912	127317094	-	25183	164
ENSG00000073111.9	chr3	127317066	127341276	+	24211	436
ENSG00000114631.10	chr3	127348024	127391652	+	43629	90
ENSG00000221413.1	chr3	127383547	127383653	+	107	0
ENSG00000114626.13	chr3	127391778	127399768	+	7991	33
ENSG00000074416.9	chr3	127407909	127542051	-	134143	17
ENSG00000187715.9	chr3	127634075	127706514	+	72440	4
ENSG00000201210.1	chr3	127682451	127682567	+	117	0
ENSG00000058262.5	chr3	127770484	127790526	+	20043	300
ENSG00000175792.7	chr3	127783621	127872757	-	89137	579
ENSG00000222627.1	chr3	127793916	127794092	-	177	0
ENSG00000239608.1	chr3	127794653	127797899	+	3247	0
ENSG00000212344.1	chr3	127860718	127860820	-	103	0
ENSG00000132394.6	chr3	127872297	128127485	+	255189	195
ENSG00000221067.1	chr3	128081008	128081101	+	94	0
ENSG00000179407.3	chr3	128181282	128186091	-	4810	0
ENSG00000242049.1	chr3	128182437	128191160	+	8724	0
ENSG00000179348.7	chr3	128198270	128212028	-	13759	213
ENSG00000244300.2	chr3	128208055	128221191	+	13137	187
ENSG00000239405.1	chr3	128256863	128257474	+	612	0
ENSG00000198685.2	chr3	128290843	128294929	-	4087	0
ENSG00000163902.7	chr3	128338817	128399918	-	61102	234
ENSG00000242551.2	chr3	128393578	128395848	-	2271	0
ENSG00000207130.1	chr3	128433414	128433548	-	135	0
ENSG00000075785.8	chr3	128444965	128533639	+	88675	545
ENSG00000239503.1	chr3	128467381	128468332	-	952	0
ENSG00000242992.2	chr3	128483309	128483861	-	553	0
ENSG00000244232.2	chr3	128503990	128504288	+	299	0
ENSG00000239483.1	chr3	128517684	128518044	-	361	4
ENSG00000244065.1	chr3	128562407	128563247	-	841	0
ENSG00000243022.1	chr3	128567516	128568242	-	727	0
ENSG00000242062.1	chr3	128570955	128571851	-	897	0
ENSG00000261159.1	chr3	128578559	128579369	-	811	2
ENSG00000231305.3	chr3	128580156	128590383	-	10228	0
ENSG00000250796.1	chr3	128588467	128588869	+	403	0
ENSG00000177646.13	chr3	128598439	128634910	+	36472	583
ENSG00000114656.6	chr3	128628709	128721533	-	92825	5
ENSG00000187695.6	chr3	128628717	128690173	-	61457	0
ENSG00000114654.6	chr3	128720472	128759585	+	39114	16
ENSG00000249505.1	chr3	128764606	128765764	+	1159	0
ENSG00000169704.4	chr3	128779610	128781249	+	1640	0
ENSG00000252435.1	chr3	128792139	128792241	+	103	0
ENSG00000238874.1	chr3	128792938	128793045	+	108	0
ENSG00000172780.12	chr3	128806412	128841644	-	35233	0
ENSG00000261796.1	chr3	128806418	128879879	-	73462	3
ENSG00000273174.1	chr3	128842282	128842846	+	565	0
ENSG00000240682.5	chr3	128846258	128880136	-	33879	0
ENSG00000273437.1	chr3	128882449	128882783	-	335	7
ENSG00000169714.12	chr3	128888327	128902765	-	14439	804
ENSG00000241673.1	chr3	128936936	128937193	-	258	0
ENSG00000181789.10	chr3	128968449	128996614	+	28166	231
ENSG00000183624.9	chr3	128997671	129025029	+	27359	268
ENSG00000184897.4	chr3	129033615	129035120	-	1506	172
ENSG00000206417.4	chr3	129034235	129045068	+	10834	75
ENSG00000248916.1	chr3	129041889	129044269	-	2381	4
ENSG00000270492.1	chr3	129053429	129053917	+	489	0
ENSG00000270773.1	chr3	129064254	129065007	+	754	1
ENSG00000244932.2	chr3	129100141	129112992	+	12852	9
ENSG00000251474.2	chr3	129101765	129118498	-	16734	129
ENSG00000207088.1	chr3	129116053	129116191	-	139	0
ENSG00000172771.7	chr3	129120164	129147494	-	27331	7
ENSG00000129071.5	chr3	129149787	129158878	-	9092	230
ENSG00000163913.7	chr3	129158968	129239198	+	80231	156
ENSG00000163914.4	chr3	129247483	129254012	+	6530	0
ENSG00000178804.3	chr3	129262057	129270310	+	8254	0
ENSG00000004399.8	chr3	129274018	129325661	-	51644	172
ENSG00000239437.2	chr3	129310192	129310488	+	297	0
ENSG00000248659.1	chr3	129350862	129351335	-	474	0
ENSG00000172765.12	chr3	129366635	129612419	-	245785	646
ENSG00000202412.1	chr3	129537775	129537876	+	102	0
ENSG00000252786.1	chr3	129538620	129538719	+	100	0
ENSG00000203644.2	chr3	129565893	129566800	-	908	0
ENSG00000271270.1	chr3	129612714	129637418	+	24705	88
ENSG00000250643.1	chr3	129672948	129688137	-	15190	11
ENSG00000170893.3	chr3	129693148	129696781	+	3634	0
ENSG00000248459.1	chr3	129717374	129717779	+	406	0
ENSG00000249869.1	chr3	129732025	129732384	-	360	0
ENSG00000180770.3	chr3	129740396	129741363	-	968	0
ENSG00000263767.1	chr3	129752301	129752388	-	88	0
ENSG00000251178.1	chr3	129753396	129754382	-	987	0
ENSG00000251610.1	chr3	129774567	129774763	-	197	0
ENSG00000251287.4	chr3	129800674	129832070	+	31397	13
ENSG00000248243.1	chr3	129808276	129813147	-	4872	2
ENSG00000266849.1	chr3	129815216	129815281	+	66	0
ENSG00000253540.1	chr3	129817935	129830315	-	12381	20
ENSG00000249846.2	chr3	129831393	129839422	+	8030	13
ENSG00000248618.1	chr3	129886633	129886873	-	241	0
ENSG00000221270.1	chr3	129902366	129902466	+	101	0
ENSG00000250580.1	chr3	129918551	129918761	+	211	0
ENSG00000228252.4	chr3	129931666	129992649	+	60984	16
ENSG00000249253.1	chr3	130012180	130012603	+	424	0
ENSG00000172752.10	chr3	130064359	130203688	+	139330	1
ENSG00000222683.1	chr3	130088070	130088187	-	118	0
ENSG00000206384.6	chr3	130279178	130396999	+	117822	17
ENSG00000196455.3	chr3	130397779	130465673	-	67895	289
ENSG00000222783.1	chr3	130530612	130530939	-	328	0
ENSG00000232829.3	chr3	130546503	130547220	+	718	0
ENSG00000017260.15	chr3	130569439	130735556	+	166118	548
ENSG00000250592.1	chr3	130618258	130648820	-	30563	17
ENSG00000252894.1	chr3	130633185	130633296	-	112	0
ENSG00000249098.1	chr3	130637070	130637964	-	895	0
ENSG00000251579.1	chr3	130646598	130647120	-	523	0
ENSG00000034533.7	chr3	130732719	130746493	-	13775	45
ENSG00000114670.9	chr3	130745694	131069309	+	323616	53
ENSG00000250129.1	chr3	130772161	130791183	-	19023	0
ENSG00000201550.1	chr3	130811665	130811771	-	107	0
ENSG00000212073.1	chr3	130830514	130830602	-	89	0
ENSG00000265235.1	chr3	130907155	130907242	-	88	0
ENSG00000250608.1	chr3	131043936	131100319	-	56384	15
ENSG00000246082.2	chr3	131080742	131083966	+	3225	0
ENSG00000198585.7	chr3	131100515	131107674	+	7160	70
ENSG00000261167.1	chr3	131173970	131177442	-	3473	7
ENSG00000114686.4	chr3	131181056	131221827	-	40772	502
ENSG00000249020.1	chr3	131197941	131198077	-	137	0
ENSG00000248468.1	chr3	131236675	131239724	+	3050	0
ENSG00000248530.1	chr3	131245291	131246023	+	733	0
ENSG00000196353.7	chr3	131252399	132004254	-	751856	8
ENSG00000251447.1	chr3	131256415	131256529	-	115	0
ENSG00000265859.1	chr3	131704699	131704775	-	77	0
ENSG00000240854.1	chr3	131894246	131895555	+	1310	1
ENSG00000242899.1	chr3	131962372	131963109	-	738	0
ENSG00000238701.1	chr3	131999462	131999522	+	61	0
ENSG00000014257.11	chr3	132036211	132087142	+	50932	7
ENSG00000240890.2	chr3	132105366	132107918	+	2553	0
ENSG00000213264.3	chr3	132120097	132120640	+	544	0
ENSG00000138246.11	chr3	132136370	132257876	+	121507	410
ENSG00000240303.3	chr3	132276982	132379567	-	102586	0
ENSG00000113971.14	chr3	132276986	132441303	-	164318	429
ENSG00000129048.6	chr3	132316081	132337811	+	21731	8
ENSG00000251614.1	chr3	132364675	132369227	+	4553	0
ENSG00000081307.8	chr3	132373290	132396941	+	23652	386
ENSG00000248724.2	chr3	132440594	132593067	+	152474	0
ENSG00000250355.1	chr3	132575913	132576068	+	156	0
